City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Saurimo,AO,-9.6608,20.3916,64.98,97,87,2.91,light rain
80,Dikson,RU,73.5069,80.5464,10.58,93,100,15.68,overcast clouds
81,Cape Town,ZA,-33.9258,18.4232,59.92,70,0,14.0,clear sky
82,Kattivakkam,IN,13.2167,80.3167,86.09,84,32,7.9,scattered clouds
83,Te Anau,NZ,-45.4167,167.7167,45.12,77,97,1.32,overcast clouds
84,Yinchuan,CN,38.4681,106.2731,46.11,58,100,8.77,overcast clouds
85,Pevek,RU,69.7008,170.3133,6.94,92,100,6.53,overcast clouds
86,Taoudenni,ML,22.6783,-3.9836,79.5,19,0,10.58,clear sky
87,Tasiilaq,GL,65.6145,-37.6368,35.76,97,100,13.02,light rain
88,Tshela,CD,-4.9833,12.9333,73.51,99,58,0.76,broken clouds
89,Leningradskiy,RU,69.3833,178.4167,8.44,92,64,8.79,broken clouds
90,Ouesso,CG,1.6136,16.0517,75.79,81,98,1.72,light rain
91,Zavyalovo,RU,54.5053,82.4484,46.47,58,47,12.62,scattered clouds
92,Kapoeta,SS,4.7717,33.5903,70.88,81,95,1.61,overcast clouds
93,Severomorsk,RU,69.0689,33.4162,39.6,88,100,20.31,overcast clouds
94,Avarua,CK,-21.2078,-159.775,78.85,83,75,11.5,broken clouds
95,Longyearbyen,SJ,78.2186,15.6401,22.84,68,75,8.05,broken clouds
96,Hermanus,ZA,-34.4187,19.2345,57.79,77,2,17.56,clear sky
97,Yerbogachen,RU,61.2767,108.0108,35.38,97,100,8.7,overcast clouds
98,Veliko Gradiste,RS,44.7567,21.5136,46.15,77,80,13.49,broken clouds
99,Pahrump,US,36.2083,-115.9839,74.52,22,1,24.0,clear sky
100,Hambantota,LK,6.1241,81.1185,80.1,81,61,7.14,broken clouds
101,Aberdeen,GB,57.1437,-2.0981,54.5,94,75,4.61,broken clouds
102,Mar Del Plata,AR,-38.0023,-57.5575,66.09,88,0,7.0,clear sky
103,Upernavik,GL,72.7868,-56.1549,-8.18,92,30,11.59,scattered clouds
104,Uvira,CD,-3.4067,29.1458,71.28,82,86,3.13,overcast clouds
105,Roald,NO,62.5833,6.1333,47.75,87,20,8.05,few clouds
106,Samarai,PG,-10.6167,150.6667,81.07,78,100,3.8,overcast clouds
107,Aksarka,RU,66.5606,67.7975,3.65,98,97,1.45,overcast clouds
108,Salta,AR,-24.7859,-65.4117,64.58,66,40,9.22,scattered clouds
109,Loiza,PR,18.4313,-65.8802,80.6,88,86,15.08,overcast clouds
110,Kaili,ID,-3.4626,120.2147,67.5,93,97,3.33,overcast clouds
111,Bara,NG,10.3744,10.7288,87.84,41,31,9.19,light rain
112,Manzhouli,CN,49.6,117.4333,30.94,46,83,5.75,broken clouds
113,Castro,BR,-24.7911,-50.0119,54.41,85,0,3.83,clear sky
114,Baran,IN,25.1,76.5167,85.08,20,0,3.29,clear sky
115,Atuona,PF,-9.8,-139.0333,79.23,79,18,16.24,few clouds
116,Aasiaat,GL,68.7098,-52.8699,0.99,94,58,6.93,broken clouds
117,Yar-Sale,RU,66.8333,70.8333,12.22,92,97,14.05,overcast clouds
118,Yellowknife,CA,62.456,-114.3525,14.52,48,20,9.22,few clouds
119,Salvador,SV,13.8333,-88.9167,82.44,45,78,7.23,broken clouds
120,Sitka,US,57.0531,-135.33,44.49,57,40,8.05,scattered clouds
121,Kaitangata,NZ,-46.2817,169.8464,49.42,66,81,1.83,broken clouds
122,Magdalena,PH,14.1999,121.429,80.35,91,100,5.5,overcast clouds
123,Saint-Philippe,RE,-21.3585,55.7679,73.22,79,55,10.2,broken clouds
124,Sur,OM,22.5667,59.5289,86.68,41,0,5.5,clear sky
125,Quatre Cocos,MU,-20.2078,57.7625,78.91,83,40,15.17,light rain
126,Victoria,HK,22.2855,114.1577,70.25,77,100,17.0,overcast clouds
127,Beaverlodge,CA,55.2166,-119.4361,36.75,35,100,10.27,overcast clouds
128,Hithadhoo,MV,-0.6,73.0833,82.85,67,57,6.78,broken clouds
129,Bowen,AU,-20.0167,148.2333,73.45,72,43,10.8,scattered clouds
130,Mangaratiba,BR,-22.9597,-44.0406,70.66,77,17,5.77,few clouds
131,Bahia Blanca,AR,-38.7196,-62.2724,65.05,50,75,1.3,broken clouds
132,Kano,NG,12.0001,8.5167,78.69,64,100,2.59,moderate rain
133,Tahta,EG,26.7693,31.5021,81.81,12,0,2.86,clear sky
134,Terrace,CA,54.5163,-128.6035,51.71,17,20,6.91,few clouds
135,Ponta Do Sol,PT,32.6667,-17.1,72.23,40,100,7.29,overcast clouds
136,Lompoc,US,34.6391,-120.4579,68.14,74,100,12.66,overcast clouds
137,Berlevag,NO,70.8578,29.0864,37.2,90,100,33.42,overcast clouds
138,Khatanga,RU,71.9667,102.5,17.06,97,99,5.91,overcast clouds
139,Lazaro Cardenas,MX,17.9583,-102.2,82.42,57,41,10.31,scattered clouds
140,Changping,CN,40.2186,116.2197,40.64,17,93,3.24,overcast clouds
141,Guerrero Negro,MX,27.9769,-114.0611,66.88,65,99,23.51,overcast clouds
142,Balkanabat,TM,39.5108,54.3671,56.73,70,100,5.95,light rain
143,Nouakchott,MR,18.0858,-15.9785,60.73,87,1,13.58,clear sky
144,Gravdal,NO,68.1214,13.5031,41.77,99,100,13.02,overcast clouds
145,Gamba,GA,-2.65,10.0,77.52,91,87,2.77,overcast clouds
146,Vanimo,PG,-2.6741,141.3028,79.18,88,58,4.07,broken clouds
147,Moose Jaw,CA,50.4001,-105.5344,28.65,59,98,8.05,overcast clouds
148,Husavik,IS,66.0449,-17.3389,42.64,85,100,13.15,overcast clouds
