City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
223,Karratha,AU,81.77,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
224,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
227,Diu,IN,77.65,clear sky,20.7141,70.9822,Hotel Relax Inn
233,Ewa Beach,US,82.35,few clouds,21.3156,-158.0072,Base Lodging
234,Naica,MX,88.25,overcast clouds,27.85,-105.4833,Departamentos Nicole
238,Obidos,BR,75.51,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
240,Sambava,MG,74.75,clear sky,-14.2667,50.1667,Melrose
241,Bengkulu,ID,76.89,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
243,Tamandare,BR,81.16,clear sky,-8.7597,-35.1047,Pousada 100 Passos
251,Cayenne,GF,82.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
257,Saint-Joseph,RE,72.21,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
259,Bubaque,GW,75.7,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
261,Beira,MZ,80.69,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
268,Paita,PE,71.44,few clouds,-5.0892,-81.1144,Hotel Náutico de Paita
273,Vicuna,CL,74.77,clear sky,-30.0319,-70.7081,Los Mosaicos
275,Huejuquilla El Alto,MX,89.2,overcast clouds,22.6,-103.8667,Hotel Huexuquillan
279,Robertsport,LR,79.99,overcast clouds,6.7533,-11.3686,Kwepunha Retreat
281,Huarmey,PE,70.7,broken clouds,-10.0681,-78.1522,Hotel Miramar
282,Puerto Quijarro,BO,80.55,clear sky,-17.7833,-57.7667,Hotel palance
284,Tura,IN,70.18,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
287,Noumea,NC,80.58,clear sky,-22.2763,166.4572,Hôtel Le Lagon
290,Sabya,SA,82.02,broken clouds,17.1495,42.6254,Aseel Hotel Apartment
291,Warri,NG,78.67,overcast clouds,5.5167,5.75,BON Hotel Delta
292,Kavieng,PG,82.89,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
296,Weligama,LK,79.5,broken clouds,5.9667,80.4167,Weligama Bay Resort
297,Puerto Escondido,MX,88.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
